,Crime Type,Year,Latitude (Arlington),Longitude (Arlington)
3861,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.88530844,-77.09531838
3862,"ALTER, FORGE VEHICLE REGISTRATION OR TITLE",2019,38.86517369,-77.08098759999999
3863,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.87524567,-77.10442363
3864,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.91004026,-77.11820611
3865,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.90288359,-77.11295362
3866,PETIT LARCENY: ALL OTHER LARCENY,2019,38.85884675,-77.12857491
3867,PETIT LARCENY: SHOPLIFTING,2019,38.864644899999995,-77.06237497
3868,ASSAULT & BATTERY,2019,38.88801176,-77.08221531
3869,GRAND LARCENY: ALL OTHER LARCENY,2019,38.85415156,-77.0478545
3870,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88849624,-77.09224872
3871,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.88050722,-77.11548048
3872,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.88260839,-77.11155567
3873,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.87062636,-77.11170844
3874,GRAND LARCENY: ALL OTHER LARCENY,2019,38.86506361,-77.06216586
3875,HIT AND RUN - PASSENGER FAIL TO REPORT ATTENDED PROPERTY: DAMAGE ONLY,2019,38.90216629,-77.15725281
3876,GRAND LARCENY: ALL OTHER LARCENY,2019,38.86702313,-77.12308264
3877,BURGLARY: W/ INTENT TO COMMIT OTHER MISDEMEANOR,2019,38.85258281,-77.04947331
3878,PETIT LARCENY: SHOPLIFTING,2019,38.86607283,-77.06327697
3879,CREDIT CARD FRAUD $500 W/IN 6 MONTHS OR CONSPIRE WITH ANOTHER,2019,38.85186739,-77.11530337
3880,FUGITIVE FROM JUSTICE FELONY CHARGE,2019,38.86826764,-77.07337671
3881,ASSAULT & BATTERY,2019,38.860587,-77.05974534
3882,ELUDING POLICE,2019,38.90149357,-77.06888298
3883,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.89303705,-77.06852301
3884,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.89090189,-77.08109213
3885,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88891612,-77.09178143
3886,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.89917009,-77.12239111
3887,DUI,2019,38.84713464,-77.07945591
3888,DUI,2019,38.89354494,-77.07510205
3889,PUBLIC SWEARING OR INTOXICATION (DRUNK IN PUBLIC),2019,38.89563443,-77.06836591
3890,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.84583396,-77.06229233
3891,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.88170026,-77.1089782
3892,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89797441,-77.11794309
3893,"HIT AND RUN - ATTENDED PROPERTY: INJURY/DEATH (*OTHER THAN PEDESTRIAN*) OR DAMAGE $1,000+",2019,38.86117236,-77.05464361
3894,GRAND LARCENY: POCKET PICKING,2019,38.88773007,-77.09145169
3895,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.88900797,-77.08259401
3896,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.88919787,-77.08446862
3897,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.87586243,-77.10371891
3898,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.86495346,-77.06191027
3899,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.85431577,-77.11973775
3900,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.87291126,-77.10817154
3901,GRAND LARCENY: SHOPLIFTING,2019,38.86440153,-77.05896992
3902,CREDIT CARD FRAUD $500 W/IN 6 MONTHS OR CONSPIRE WITH ANOTHER,2019,38.85384051,-77.10190035
3903,PETIT LARCENY:  SHOPLIFTING 3+ OFFENSE,2019,38.86094652,-77.05994673
3904,POSSESSION OF MARIJUANA,2019,38.8544526,-77.05165024
3905,PETIT LARCENY: THEFT OF MOTOR VEHICLE PARTS,2019,38.89367961,-77.09054935
3906,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.893331700000005,-77.11616859
3907,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89686683,-77.09021311
3908,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.86363583,-77.08522091
3909,PETIT LARCENY: SHOPLIFTING,2019,38.86074054,-77.06225434
3910,ASSAULT & BATTERY,2019,38.8891842,-77.08434742
3911,PETIT LARCENY: THEFT OF MOTOR VEHICLE PARTS,2019,38.84099866,-77.08466154
3912,PETIT LARCENY: ALL OTHER LARCENY,2019,38.8917868,-77.09787907
3913,INDECENT EXPOSURE,2019,38.85747976,-77.04777929999999
3914,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.87786027,-77.12499065
3915,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.87992085,-77.08848601
3916,ASSAULT & BATTERY,2019,38.89759286,-77.07213066
3917,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.86021064,-77.09847086
3918,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.86717037,-77.13503022
3919,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.86569154,-77.07169284
3920,POSSESSION OF MARIJUANA,2019,38.852686299999995,-77.1191822
3921,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89325482,-77.08026261
3922,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.87108084,-77.13636978
3923,VIOLATE PROTECTIVE ORDER ISSUED UNDER 19.2: MISDEMEANOR,2019,38.86138967,-77.08402249
3924,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.90061029,-77.12872347
3925,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.89074299,-77.09333305
3926,OBTAINING MONEY = $500 OR SIGNATURE BY FALSE PRETENSES,2019,38.89818536,-77.10324165
3927,DUI,2019,38.8632407,-77.05745832
3928,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.89205697,-77.08362898
3929,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88797881,-77.12051815
3930,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.8997574,-77.12290395
3931,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88742503,-77.12731799
3932,PETIT LARCENY: ALL OTHER LARCENY,2019,38.87733128,-77.09033782
3933,GRAND LARCENY: THEFT FROM BUILDING,2019,38.88781987,-77.092085
3934,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.86628853,-77.05282882
3935,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.88752223,-77.09512601
3936,ASSAULT & BATTERY,2019,38.84863618,-77.08559050000001
3937,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.88769207,-77.10575196
3938,PUBLIC SWEARING OR INTOXICATION (DRUNK IN PUBLIC),2019,38.88267218,-77.09705847
3939,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.86233298,-77.07504824
3940,PETIT LARCENY: POCKET PICKING 3+ OFFENSE,2019,38.86154143,-77.05591132
3941,ALTER OR FORGE LICENSE PLATE OR DECAL,2019,38.871181400000005,-77.04595296
3942,CONTRIBUTING TO THE DELINQUENCY OF A MINOR,2019,38.88943701,-77.08438757
3943,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.89156481,-77.08497859
3944,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88116608,-77.08648719
3945,PETIT LARCENY: SHOPLIFTING,2019,38.86581428,-77.05877784
3946,BURGLARY: W/ INTENT TO COMMIT LARCENY/ASSAULT & BATTERY/OTHER FELONY,2019,38.84438759,-77.07122063
3947,CREDIT CARD FRAUD =$500 W/IN 6 MONTHS,2019,38.87648158,-77.10415967
3948,DUI,2019,38.84645986,-77.08153863
3949,FORGING/COUNTERFEITING COIN AND BANK NOTES; UTTERING COUNTERFEIT COIN AND BANK NOTES,2019,38.85012531,-77.06953589
3950,CREDIT CARD FRAUD $500 W/IN 6 MONTHS OR CONSPIRE WITH ANOTHER,2019,38.85227238,-77.11366459
3951,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.87954689,-77.10985471
3952,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.89506234,-77.07532983
3953,POSSESSION OF MARIJUANA,2019,38.84627191,-77.09674859
3954,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.88267904,-77.11133401
3955,OBTAINING MONEY = $500 OR SIGNATURE BY FALSE PRETENSES,2019,38.86893585,-77.14038202
3956,DRIVE DUI SUSPENDED OL/BAC 0.02+ WHILE DUI RESTRICTED/W/OUT INTERLOCK,2019,38.89430137,-77.09522969
3957,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.84576484,-77.08799336
3958,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.89850742,-77.12599323
3959,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.85238531,-77.06674825
3960,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.90184872,-77.11866316
3961,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.84449944,-77.08916862
3962,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.8723424,-77.11191417
3963,ASSAULT & BATTERY,2019,38.89493344,-77.06786417
3964,SELL/GIVE/DISTRIBUTE/PWID MARIJUANA: FELONY,2019,38.86612043,-77.07769278
3965,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.87504307,-77.09102816
3966,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.88456467,-77.10187333
3967,OBTAINING MONEY = $500 OR SIGNATURE BY FALSE PRETENSES,2019,38.88878532,-77.09293648
3968,UNAUTHORIZED USE OF VEHICLE/ETC $500,2019,38.86063213,-77.09725432
3969,ID THEFT: OBTAIN 5 IDS TO DEFRAUD/SELL/DISTRIB =$500,2019,38.86248626,-77.05404258
3970,PETIT LARCENY: ALL OTHER LARCENY,2019,38.88023998,-77.11482007
3971,PETIT LARCENY: SHOPLIFTING,2019,38.86454286,-77.0606878
3972,PETIT LARCENY: ALL OTHER LARCENY,2019,38.87781443,-77.08708211
3973,OBTAINING MONEY = $500 OR SIGNATURE BY FALSE PRETENSES,2019,38.88812844,-77.09663235
3974,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.91488914,-77.11384379
3975,GRAND LARCENY: THEFT FROM BUILDING,2019,38.87923525,-77.14507865
3976,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.88862146,-77.08123782
3977,ASSAULT & BATTERY,2019,38.87400179,-77.10546452
3978,FORGING/UTTERING ANY WRITING OTHER THAN PUBLIC RECORD/CURRENCY,2019,38.88946714,-77.08601827
3979,TRESPASSING,2019,38.88453145,-77.10932708
3980,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY =$1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.85534244,-77.04965435
3981,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.87746223,-77.08921232
3982,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.88079768,-77.11259559
3983,CREDIT CARD FRAUD =$500 W/IN 6 MONTHS,2019,38.85755478,-77.05323616
3984,PROFANE/THREATENING LANGUAGE VIA PHONE OR CB RADIO,2019,38.89538588,-77.12905594
3985,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.87149713,-77.10097664
3986,PERJURY,2019,38.85124077,-77.0762943
3987,IDENTITY THEFT,2019,38.85431701,-77.11342457
3988,TAMPERING WITH VEHICLE (WITH DAMAGE/VANDALISM),2019,38.88963007,-77.13093666
3989,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.86695358,-77.09815377
3990,PETIT LARCENY: ALL OTHER LARCENY,2019,38.8835907,-77.09164263
3991,PETIT LARCENY: ALL OTHER LARCENY,2019,38.87011884,-77.0823124
3992,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.86370819,-77.07557271
3993,SHOPLIFTING: CONCEALING MERCHANDISE/ALTERING PRICE =$500,2019,38.86442371,-77.08646445
3994,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.89685521,-77.12391656
3995,CREDIT CARD FRAUD =$500 W/IN 6 MONTHS,2019,38.87834688,-77.10772237
3996,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.89818901,-77.12116682
3997,CONTRIBUTING TO THE DELINQUENCY OF A MINOR,2019,38.86418741,-77.07862088
3998,USE COMPUTER FOR HARASSMENT,2019,38.85321798,-77.04781097
3999,ID THEFT: OBTAIN 5 IDS TO DEFRAUD/SELL/DISTRIB =$500,2019,38.86273153,-77.05516645
4000,PETIT LARCENY: SHOPLIFTING,2019,38.85242599,-77.05212351
4001,GRAND LARCENY: THEFT FROM BUILDING,2019,38.8629333,-77.05922557
4002,PETIT LARCENY: THEFT FROM BUILDING,2019,38.89102253,-77.07687429
4003,GRAND LARCENY: SHOPLIFTING,2019,38.86263239,-77.06257004
4004,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.862819200000004,-77.0600173
4005,GRAND LARCENY: THEFT FROM BUILDING,2019,38.895343700000005,-77.0776851
4006,PETIT LARCENY: THEFT FROM BUILDING,2019,38.89028702,-77.12960065
4007,FORGING/COUNTERFEITING COIN AND BANK NOTES; UTTERING COUNTERFEIT COIN AND BANK NOTES,2019,38.8420109,-77.10343486
4008,THREAT: TO EXTORT MONEY,2019,38.87954308,-77.09190661
4009,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.87107951,-77.10708089
4010,ANNOYING PHONE CALLS,2019,38.86491939,-77.06205374
4011,"HIT AND RUN - ATTENDED PROPERTY: INJURY/DEATH (*OTHER THAN PEDESTRIAN*) OR DAMAGE $1,000+",2019,38.88352391,-77.15445948
4012,GRAND LARCENY: THEFT FROM BUILDING,2019,38.895786799999996,-77.07719614
4013,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.84555411,-77.09577475
4014,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.88800621,-77.13002894
4015,GRAND LARCENY: THEFT FROM BUILDING,2019,38.89093606,-77.12950115
4016,ASSAULT & BATTERY,2019,38.89545273,-77.10117106
4017,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.88333104,-77.09216062
4018,ASSAULT & BATTERY,2019,38.89595039,-77.14198087
4019,POSSESSION OF MARIJUANA,2019,38.89032545,-77.13897519
4020,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.83061406,-77.08468799
4021,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.88721391,-77.09583304
4022,PETIT LARCENY: THEFT FROM BUILDING,2019,38.87483354,-77.14033011
4023,ID THEFT: OBTAIN 5 IDS TO DEFRAUD/SELL/DISTRIB =$500,2019,38.86048444,-77.05688486
4024,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.88689737,-77.09519775
4025,DUI,2019,38.86442246,-77.07459086
4026,POSSESSION OF MARIJUANA,2019,38.85153642,-77.10303391
4027,"HIT AND RUN - ATTENDED PROPERTY: INJURY/DEATH (*OTHER THAN PEDESTRIAN*) OR DAMAGE $1,000+",2019,38.899641100000004,-77.07091089
4028,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.85762191,-77.10141509
4029,USE COMPUTER FOR HARASSMENT,2019,38.84293876,-77.05338374
4030,GRAND LARCENY: SHOPLIFTING,2019,38.86245426,-77.05907015
4031,GRAND LARCENY: THEFT FROM BUILDING,2019,38.85522759,-77.05131797
4032,POSSESSION OF BURGLARIOUS TOOLS,2019,38.86870323,-77.04806032
4033,GRAND LARCENY: THEFT FROM BUILDING,2019,38.85234751,-77.0493993
4034,POSSESSION OF BURGLARIOUS TOOLS,2019,38.84622372,-77.09326561
4035,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.85991271,-77.05857199
4036,PETIT LARCENY: SHOPLIFTING,2019,38.8657768,-77.05896696
4037,POSSESSION OF MARIJUANA,2019,38.89302591,-77.07755755
4038,GRAND LARCENY: THEFT FROM BUILDING,2019,38.88667643,-77.08534687
4039,ASSAULT & BATTERY,2019,38.85903821,-77.05544366
4040,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.92091919,-77.11718698
4041,PETIT LARCENY: THEFT FROM BUILDING,2019,38.85190202,-77.05239833
4042,SEXUAL BATTERY,2019,38.84323295,-77.10653969
4043,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.86050185,-77.05149483
4044,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.88460304,-77.09253224
4045,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.8572037,-77.08909126
4046,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.84199605,-77.09027032
4047,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.86741457,-77.09651863
4048,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.88969141,-77.15641296
4049,GRAND LARCENY: ALL OTHER LARCENY,2019,38.8785857,-77.11142952
4050,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.8808388,-77.10828832
4051,HIT AND RUN - *PEDESTRIAN ONLY* INJURY/DEATH,2019,38.88940442,-77.15827357
4052,OBTAINING DRUGS BY FRAUD/DECEIT/FORGERY,2019,38.89562199,-77.09544836
4053,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88547478,-77.09382886
4054,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.84929983,-77.08191309
4055,GRAND LARCENY: THEFT FROM BUILDING,2019,38.85159096,-77.05003596
4056,PUBLIC SWEARING OR INTOXICATION (DRUNK IN PUBLIC),2019,38.86358656,-77.06085223
4057,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.8879209,-77.07936895
4058,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.85624409,-77.11170382
4059,GRAND LARCENY: THEFT FROM BUILDING,2019,38.89739307,-77.14334642
4060,GRAND LARCENY: THEFT FROM BUILDING,2019,38.84627228,-77.07955512
4061,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.86463929,-77.04797786
4062,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.88949922,-77.07611999999999
4063,RAPE,2019,38.86071905,-77.08851182
4064,ANNOYING PHONE CALLS,2019,38.83156913,-77.08925438
4065,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.883073100000004,-77.11471188
4066,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.87557997,-77.10545133
4067,OBSTRUCTION OF JUSTICE/RESISTING ARREST/FLEEING FROM L.E.O./LYING TO L.E.O. RE: CRIME OF ANOTHER,2019,38.87525479,-77.10533458
4068,GRAND LARCENY: ALL OTHER LARCENY,2019,38.89120071,-77.08126964
4069,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.88788711,-77.15661195
4070,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.89510969,-77.106348
4071,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.89183674,-77.12126282
4072,DUI,2019,38.86185593,-77.09489576
4073,ASSAULT & BATTERY,2019,38.84194724,-77.08811705
4074,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.88919134,-77.15394864
4075,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89555871,-77.11442011
4076,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.88992738,-77.16582268
4077,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.89396931,-77.11478788
4078,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.89743445,-77.07131517
4079,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.89568048,-77.11778309999998
4080,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89569906,-77.11465422
4081,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.88760079,-77.08548652
4082,POSSESSION OF MARIJUANA,2019,38.89209869,-77.07312325
4083,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89996019,-77.115122
4084,GRAND LARCENY: ALL OTHER LARCENY,2019,38.89589776,-77.07176668
4085,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.87870744,-77.10236415
4086,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89404262,-77.11490932
4087,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.89622145,-77.11387599
4088,GRAND LARCENY: ALL OTHER LARCENY,2019,38.86231426,-77.05985419
4089,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.896027399999994,-77.11782174
4090,ANNOYING PHONE CALLS,2019,38.85825487,-77.04782474
4091,PETIT LARCENY: SHOPLIFTING,2019,38.86331074,-77.06089262
4092,POSSESSION OF MARIJUANA,2019,38.86737926,-77.07265265
4093,ASSAULT & BATTERY: POLICE/FIRE/EMT/JUDGE/ETC OR BIAS MOTIVATED W/ BODILY INJURY,2019,38.8648869,-77.0589774
4094,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.89652361,-77.11769103
4095,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.87507134,-77.09310033
4096,GRAND LARCENY: THEFT FROM BUILDING,2019,38.83953742,-77.08904974
4097,PETIT LARCENY: ALL OTHER LARCENY,2019,38.90266853,-77.15849451
4098,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89555628,-77.11475675
4099,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.87986917,-77.10652086
4100,ASSAULT & BATTERY,2019,38.88202294,-77.08792323
4101,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.84783904,-77.07872177
4102,SHOPLIFTING: CONCEALING MERCHANDISE/ALTERING PRICE $500,2019,38.89578146,-77.07281604
4103,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.88540203,-77.0985957
4104,DUI,2019,38.85684803,-77.1118719
4105,ASSAULT & BATTERY,2019,38.88762767,-77.09425282
4106,DUI,2019,38.897049200000005,-77.12249044
4107,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.86151372,-77.09332239
4108,GRAND LARCENY: THEFT FROM BUILDING,2019,38.88667192,-77.08764483
4109,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.901499799999996,-77.10640671
4110,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88951837,-77.11720734
4111,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88741912,-77.11750391
4112,PETIT LARCENY: THEFT OF MOTOR VEHICLE PARTS,2019,38.84543516,-77.07206285
4113,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.850556899999994,-77.09809332
4114,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.86517795,-77.06189471
4115,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.86653243,-77.12683974
4116,POSSESSION OF MARIJUANA,2019,38.89258968,-77.06880866
4117,PUBLIC SWEARING OR INTOXICATION (DRUNK IN PUBLIC),2019,38.8410145,-77.05385352
4118,BURGLARY: BREAK & ENTER AT NIGHT W/ INTENT TO COMMIT A FELONY OR LARCENY,2019,38.88301227,-77.09625091
4119,CREDIT CARD FRAUD =$500 W/IN 6 MONTHS,2019,38.86347954,-77.06406832
4120,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.90021692,-77.15464753
4121,PETIT LARCENY: THEFT FROM BUILDING,2019,38.85390801,-77.1209564
4122,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.90758961,-77.11539922
4123,PETIT LARCENY: THEFT OF MOTOR VEHICLE PARTS,2019,38.88910238,-77.08219875
4124,PUBLIC SWEARING OR INTOXICATION (DRUNK IN PUBLIC),2019,38.88131783,-77.08860356
4125,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.89385861,-77.07707420000001
4126,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.91320553,-77.11566638
4127,CARRYING CONCEALED WEAPON,2019,38.88656656,-77.09305101
4128,GRAND LARCENY: POCKET PICKING,2019,38.88563685,-77.10134987
4129,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.91454902,-77.11558486
4130,ROBBERY,2019,38.88530018,-77.11268411
4131,DRIVE DUI SUSPENDED OL/BAC 0.02+ WHILE DUI RESTRICTED/W/OUT INTERLOCK,2019,38.84938232,-77.08788902
4132,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.91748818,-77.12294393
4133,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.8630153,-77.0894153
4134,IDENTITY THEFT,2019,38.86158006,-77.07985869
4135,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.88254597,-77.1385263
4136,PETIT LARCENY: SHOPLIFTING,2019,38.86287803,-77.05844826
4137,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.87032809,-77.10838379
4138,PETIT LARCENY: SHOPLIFTING,2019,38.86113692,-77.05725633
4139,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.91405816,-77.11416522
4140,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.90514695,-77.11719728
4141,FUGITIVE FROM JUSTICE MISDEMEANOR CHARGE,2019,38.87858209,-77.11145082
4142,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.882824799999995,-77.10564542
4143,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.89558332,-77.09294577
